kmeans_cluster,age,bmi,HbA1c_level,blood_glucose_level
0,0.7485654095567658,0.3802299956625494,0.3851455932056504,0.2463201967241528
1,0.4235554907773362,0.3761553591067936,0.3871967399270111,0.38073100158597556
2,0.21113233269260326,0.26315709444526975,0.3233641071241762,0.16390492598598175
